No,id,sale_date,sale_amount,Status Date,Price,Days on Market,Listing ID,Listing Type,listingDate,status,amount,pricePerSquareFoot,daysOnMarket,agentName,brokerageName,mlsNumber
298,1736424667,06/20/2019,"$1,557,500",06/21/2019,"$1,557,500",61,RX-10523834,For Sale,,,,,,,,
,,,,,,,,,06/01/2019,Sold,"$1,557,500",$722.40,61,Mark Howard Hansen,Coldwell Banker/br,RX-10523834
,,,,,,,,,05/18/2019,Pending,"$1,699,000",$788.03,27,Jonathan G Postma,Coldwell Banker/br,RX-10523834
,,,,,,,,,04/22/2019,Active - New Listing,"$1,699,000",$788.03,1,Jonathan G Postma,Coldwell Banker/br,RX-10523834
,,,,,,,,,06/01/2019,Sold,"$1,557,500",$722.40,57,,,R10523834
,,,,,,,,,05/17/2019,Pending,"$1,699,000",$788.03,29,,,R10523834
,,,,,,,,,04/19/2019,Active - New Listing,"$1,699,000",$788.03,1,,,R10523834
,,,,,,,,,06/01/2018,Sold,"$1,327,340",$615.65,n/a,Mark Howard Hansen,Coldwell Banker,RX-10433640
,,,,,,,,,06/01/2018,Sold,"$1,327,340",$615.65,3,Mark Howard Hansen,Coldwell Banker,R10433640
,,,,,,,,,08/01/2018,Fail - Fail,"$2,080,000",$964.75,177,Mark Howard Hansen,Coldwell Banker/br,RX-10496045
,,,,,,,,,04/01/2019,Fail - Fail,"$1,745,000",$809.37,92,Mark Howard Hansen,Coldwell Banker,R10496045
299,1736414530,05/13/2024,"$3,700,000",05/13/2024,"$3,700,000",25,,For Sale,,,,,,,,
,,,,,,,,,05/01/2024,Sold,"$3,700,000",$895.02,25,Timothy Brooks,Keller Williams Elite Properties,A11571745
,,,,,,,,,05/02/2024,Pending,"$3,999,990",$967.58,14,Timothy Brooks,Keller Williams Elite Properties,A11571745
,,,,,,,,,04/22/2024,Active - Price Adjustment,"$3,999,990",$967.58,4,Timothy Brooks,Keller Williams Elite Properties,A11571745
,,,,,,,,,10/01/2023,Fail - Fail,"$4,650,000","$1,124.82",174,Dovi Ettedgui,The Corcoran Group,RX-10924001
,,,,,,,,,04/02/2024,Expired,"$4,395,000","$1,063.13",356,Dovi Ettedgui,The Corcoran Group,RX-10924001
,,,,,,,,,10/03/2023,Active - Price Adjustment,"$4,395,000","$1,063.13",174,Dovi Ettedgui,The Corcoran Group,RX-10924001
,,,,,,,,,10/03/2023,Active - Price Adjustment,"$4,650,000","$1,124.82",174,Dovi Ettedgui,The Corcoran Group,RX-10924001
,,,,,,,,,03/29/2023,Pulled Off Market,"$4,500,000","$1,088.53",14,Nicholas M Gonzalez,Sutter & Nugent Llc,RX-10874042
,,,,,,,,,03/16/2023,Active - Price Adjustment,"$4,500,000","$1,088.53",1,Nicholas M Gonzalez,Sutter & Nugent Llc,RX-10874042
,,,,,,,,,02/01/2024,Canceled,"$4,500,000","$1,088.53",323,Nicholas M Gonzalez,Serhant,RX-10874042
,,,,,,,,,04/01/2023,Fail - Fail,"$4,750,000","$1,149.01",10,Dovi Ettedgui,Douglas Elliman,A11367011
,,,,,,,,,01/30/2024,Expired,"$4,750,000","$1,149.01",302,Jean Paul Figallo,Douglas Elliman,A11367011
,,,,,,,,,04/13/2023,Active - Price Adjustment,"$4,750,000","$1,149.01",10,Douglas Elliman,Douglas Elliman,A11367011
,,,,,,,,,10/01/2023,Fail - Fail,"$4,395,000","$1,063.13",1,Dovi Ettedgui,The Corcoran Group,10924001
,,,,,,,,,10/03/2023,Active - New Listing,"$4,650,000","$1,124.82",1,Dovi Ettedgui,The Corcoran Group,10924001
,,,,,,,,,12/01/2022,Fail - Fail,"$4,500,000","$1,088.53",-88,Nicholas M Gonzalez,Sutter & Nugent Llc,R10874042
,,,,,,,,,03/16/2023,Active - New Listing,"$4,500,000","$1,088.53",1,,,R10874042
,,,,,,,,,12/01/2022,Fail - Fail,"$4,750,000","$1,149.01",2,Nicholas M Gonzalez,Sutter & Nugent Llc,RX-10852576
,,,,,,,,,12/16/2022,Active - Price Adjustment,"$4,500,000","$1,088.53",1,Nicholas M Gonzalez,Sutter & Nugent Llc,RX-10852576
,,,,,,,,,03/01/2023,Fail - Fail,"$4,500,000","$1,088.53",91,Nick Gonzalez Gonzalez,Sutter & Nugent Llc,R10852576
300,1736366505,08/30/2002,"$210,000",,,,,,,,,,,,,
301,1736405170,10/29/2021,"$700,000",10/29/2021,"$700,000",390,RX-10660817,For Sale,,,,,,,,
